description,doc1_quantity,doc1_cost,unit,doc2_quantity,doc2_cost,quantity_difference,cost_difference,match_confidence,category,standardized_unit,is_temporary,is_labor,duration_type,percentage_cost_difference,significant_difference,price_category
Clean floor or roof joist system,13.73,25.57,SF,,,,,0,FLOOR COVERING,square_feet,False,False,,,False,Low
Seal floor or ceiling joist system (shellac),13.73,33.86,SF,841.0,2102.06,-827.27,-2068.2,100,FLOOR COVERING,square_feet,False,False,,-6108.09,True,Low
Deodorize building - Ozone & hydroxyl treatment,109.85,7.91,CF,30.33,1.82,79.52,6.09,87,CLEANING,cubic_feet,False,False,,76.99,True,Low
"5/8"" drywall - hung, taped, heavy texture, ready for paint",13.73,77.36,SF,,,,,0,PAINTING,square_feet,False,False,,,False,Low
Seal/prime (1 coat) then paint (1 coat) the ceiling*,13.73,23.22,SF,,,,,0,PAINTING,square_feet,False,False,,,False,Low
"1/2"" drywall - hung, taped, heavy texture, ready for paint",114.99,625.08,SF,,,,,0,PAINTING,square_feet,False,False,,,False,High
Seal/prime (1 coat) then paint (1 coat) the walls*,114.99,194.49,SF,,,,,0,PAINTING,square_feet,False,False,,,False,Medium-Low
"1/2"" Cement board",13.73,136.6,SF,,,,,0,CONCRETE & ASPHALT,square_feet,False,False,,,False,Medium-Low
Tile floor covering,13.73,319.79,SF,261.0,6144.38,-247.27,-5824.59,100,FLOOR COVERING,square_feet,False,False,,-1821.38,True,Medium-High
Tile/stone sealer,13.73,28.44,SF,41.58,86.92,-27.849999999999998,-58.480000000000004,100,FLOOR COVERING,square_feet,False,False,,-205.63,True,Low
Interior door - Colonist - pre-hung unit,1.0,450.7,EA,,,,,0,DOORS,each,False,False,,,False,Medium-High
Seal & paint door slab only (per side),2.0,136.23,EA,,,,,0,PAINTING,each,False,False,per side,,False,Medium-Low
Seal & paint door opening (per side)*,2.0,112.02,EA,17.0,966.15,-15.0,-854.13,87,OFFICE SUPPLIES,each,False,False,per side,-762.48,True,Medium-Low
Door knob - interior,1.0,63.67,EA,,,,,0,DOORS,each,False,False,,,False,Low
"Baseboard - 2 1/4""",13.96,73.7,LF,587.0,3758.84,-573.04,-3685.1400000000003,94,FINISH CARPENTRY,linear_feet,False,False,,-5000.19,True,Low
Seal (1 coat) & paint (1 coat) baseboard*,13.96,37.38,LF,,,,,0,PAINTING,linear_feet,False,False,,,False,Low
Toilet,1.0,807.65,EA,1.0,818.11,0.0,-10.460000000000036,100,PLUMBING,each,False,False,,-1.3,False,High
Toilet seat,1.0,88.48,EA,,,,,0,PLUMBING,each,False,False,,,False,Medium-Low
Angle stop valve,1.0,63.26,EA,2.0,128.02,-1.0,-64.76000000000002,100,PLUMBING,each,False,False,,-102.37,True,Low
Light fixture,1.0,114.56,EA,1.0,116.17,0.0,-1.6099999999999994,100,ELECTRICAL,each,False,False,,-1.41,False,Medium-Low
Bathroom ventilation fan,1.0,161.35,EA,1.0,163.64,0.0,-2.289999999999992,100,ROOFING,each,False,False,,-1.42,False,Medium-Low
Toilet paper holder,1.0,39.98,EA,1.0,40.57,0.0,-0.5900000000000034,100,OFFICE SUPPLIES,each,False,False,,-1.48,False,Low
Demolish/remove - bathroom (up to 50 sf),39.18,1042.34,SF,,,,,0,CABINETRY,square_feet,False,False,,,False,High
HEPA Vacuuming - Detailed - (PER SF),39.18,63.94,SF,,,,,0,CLEANING,square_feet,False,False,,,False,Low
Seal attic framing (shellac) - 6 to 8/12,39.18,113.27,SF,2000.0,5848.32,-1960.82,-5735.049999999999,100,WINDOWS,square_feet,False,False,,-5063.17,True,Medium-Low
HEPA Vacuuming exposed framing - Walls - (PER SF),213.32,332.78,SF,3500.0,5586.0,-3286.68,-5253.22,100,PAINTING,square_feet,False,False,,-1578.59,True,Medium-High
Seal stud wall for odor control (shellac),213.32,391.88,SF,3500.0,6497.62,-3286.68,-6105.74,100,PAINTING,square_feet,False,False,,-1558.06,True,Medium-High
Clean floor or roof joist system,39.18,72.95,SF,,,,,0,FLOOR COVERING,square_feet,False,False,,,False,Low
Seal floor or ceiling joist system (shellac),39.18,96.64,SF,841.0,2102.06,-801.82,-2005.4199999999998,100,FLOOR COVERING,square_feet,False,False,,-2075.14,True,Medium-Low
Deodorize building - Ozone & hydroxyl treatment,352.63,25.4,CF,30.33,1.82,322.3,23.58,87,CLEANING,cubic_feet,False,False,,92.83,True,Low
"5/8"" drywall - hung, taped, heavy texture, ready for paint",39.18,220.76,SF,,,,,0,PAINTING,square_feet,False,False,,,False,Medium-Low
Seal/prime (1 coat) then paint (1 coat) the ceiling*,39.18,66.28,SF,,,,,0,PAINTING,square_feet,False,False,,,False,Low
"1/2"" drywall - hung, taped, heavy texture, ready for paint",213.32,1159.58,SF,,,,,0,PAINTING,square_feet,False,False,,,False,High
Seal/prime (1 coat) then paint (1 coat) the walls*,213.32,360.8,SF,,,,,0,PAINTING,square_feet,False,False,,,False,Medium-High
"1/2"" Cement board",19.65,195.48,SF,,,,,0,CONCRETE & ASPHALT,square_feet,False,False,,,False,Medium-Low
Stone floor covering,19.65,492.81,SF,101.0,2592.36,-81.35,-2099.55,100,FLOOR COVERING,square_feet,False,False,,-426.04,True,Medium-High
Tile/stone sealer,19.65,40.72,SF,41.58,86.92,-21.93,-46.2,100,FLOOR COVERING,square_feet,False,False,,-113.46,True,Low
Interior door - Colonist - pre-hung unit,1.0,450.7,EA,,,,,0,DOORS,each,False,False,,,False,Medium-High
Seal & paint door slab only (per side),2.0,136.23,EA,,,,,0,PAINTING,each,False,False,per side,,False,Medium-Low
Seal & paint door opening (per side)*,2.0,112.02,EA,17.0,966.15,-15.0,-854.13,87,OFFICE SUPPLIES,each,False,False,per side,-762.48,True,Medium-Low
Door knob - interior,1.0,63.67,EA,,,,,0,DOORS,each,False,False,,,False,Low
"Baseboard - 2 1/4""",6.54,34.52,LF,587.0,3758.84,-580.46,-3724.32,94,FINISH CARPENTRY,linear_feet,False,False,,-10788.88,True,Low
Seal (1 coat) & paint (1 coat) baseboard*,6.54,17.51,LF,,,,,0,PAINTING,linear_feet,False,False,,,False,Low
Medicine cabinet,1.0,270.25,EA,1.0,274.28,0.0,-4.029999999999973,100,CABINETRY,each,False,False,,-1.49,False,Medium-High
Vanity,4.25,1511.88,LF,4.25,1534.41,0.0,-22.529999999999973,100,CABINETRY,linear_feet,False,False,,-1.49,False,High
Vanity top - one sink - cultured marble,6.67,1228.96,LF,6.67,1243.75,0.0,-14.789999999999964,100,OFFICE SUPPLIES,linear_feet,False,False,,-1.2,False,High
"Mirror - 1/4"" plate glass",24.0,582.87,SF,6.0,147.82,18.0,435.05,100,WINDOWS,square_feet,False,False,,74.64,True,Medium-High
Add metal J channel to a mirror,6.0,32.86,LF,10.0,55.53,-4.0,-22.67,100,STEEL COMPONENTS,linear_feet,False,False,,-68.99,True,Low
Tile tub surround - up to 60 SF,1.0,2488.92,EA,1.0,2515.2,0.0,-26.279999999999745,100,FLOOR COVERING,each,False,False,,-1.06,False,High
"1/2"" Cement board",55.0,545.87,SF,,,,,0,CONCRETE & ASPHALT,square_feet,False,False,,,False,Medium-High
Tile/stone sealer,55.0,113.97,SF,41.58,86.92,13.420000000000002,27.049999999999997,100,FLOOR COVERING,square_feet,False,False,,23.73,True,Medium-Low
Bathtub - High grade,1.0,1727.81,EA,,,,,0,PLUMBING,each,False,False,,,False,High
Bathtub enclosure - sliding glass doors - High grade,1.0,825.56,EA,1.0,837.79,0.0,-12.230000000000018,100,PLUMBING,each,False,False,,-1.48,False,High
Sink faucet - Bathroom,1.0,339.44,EA,1.0,343.91,0.0,-4.470000000000027,100,OFFICE SUPPLIES,each,False,False,,-1.32,False,Medium-High
Tub/shower faucet,1.0,507.57,EA,1.0,379.89,0.0,127.68,87,PLUMBING,each,False,False,,25.16,True,Medium-High
Toilet,1.0,807.65,EA,1.0,818.11,0.0,-10.460000000000036,100,PLUMBING,each,False,False,,-1.3,False,High
Toilet seat,1.0,88.48,EA,,,,,0,PLUMBING,each,False,False,,,False,Medium-Low
Angle stop valve,3.0,189.8,EA,2.0,128.02,1.0,61.78,100,PLUMBING,each,False,False,,32.55,True,Medium-Low
P-trap assembly - ABS (plastic),1.0,118.34,EA,1.0,119.66,0.0,-1.3199999999999932,100,PLUMBING FIXTURES,each,False,False,,-1.12,False,Medium-Low
Light fixture,1.0,114.56,EA,1.0,116.17,0.0,-1.6099999999999994,100,ELECTRICAL,each,False,False,,-1.41,False,Medium-Low
Light bar - 5 lights,1.0,169.8,EA,1.0,172.17,0.0,-2.369999999999976,100,ELECTRICAL,each,False,False,,-1.4,False,Medium-Low
Bathroom ventilation fan,1.0,161.35,EA,1.0,163.64,0.0,-2.289999999999992,100,ROOFING,each,False,False,,-1.42,False,Medium-Low
Towel bar,2.0,87.04,EA,1.0,44.16,1.0,42.88000000000001,100,BATHROOM ACCESSORIES,each,False,False,,49.26,True,Medium-Low
Toilet paper holder,1.0,39.98,EA,1.0,40.57,0.0,-0.5900000000000034,100,OFFICE SUPPLIES,each,False,False,,-1.48,False,Low
Demolish/remove - bedroom/room (up to 200 sf),109.08,1026.23,SF,,,,,0,FURNITURE,square_feet,False,False,,,False,High
HEPA Vacuuming - Detailed - (PER SF),117.07,191.06,SF,,,,,0,CLEANING,square_feet,False,False,,,False,Medium-Low
Seal attic framing (shellac) - 6 to 8/12,117.07,338.44,SF,2000.0,5848.32,-1882.93,-5509.88,100,WINDOWS,square_feet,False,False,,-1628.02,True,Medium-High
HEPA Vacuuming exposed framing - Walls - (PER SF),260.67,406.65,SF,3500.0,5586.0,-3239.33,-5179.35,100,PAINTING,square_feet,False,False,,-1273.66,True,Medium-High
Seal stud wall for odor control (shellac),260.67,478.87,SF,3500.0,6497.62,-3239.33,-6018.75,100,PAINTING,square_feet,False,False,,-1256.87,True,Medium-High
Clean floor or roof joist system,109.08,203.1,SF,,,,,0,FLOOR COVERING,square_feet,False,False,,,False,Medium-Low
Seal floor or ceiling joist system (shellac),109.08,269.08,SF,841.0,2102.06,-731.92,-1832.98,100,FLOOR COVERING,square_feet,False,False,,-681.2,True,Medium-High
Deodorize building - Ozone & hydroxyl treatment,945.25,68.06,CF,30.33,1.82,914.92,66.24000000000001,87,CLEANING,cubic_feet,False,False,,97.33,True,Low
"5/8"" drywall - hung, taped, heavy texture, ready for paint",117.07,659.66,SF,,,,,0,PAINTING,square_feet,False,False,,,False,High
Seal/prime (1 coat) then paint (1 coat) the ceiling*,117.07,198.01,SF,,,,,0,PAINTING,square_feet,False,False,,,False,Medium-Low
"1/2"" drywall - hung, taped, heavy texture, ready for paint",260.67,1416.97,SF,,,,,0,PAINTING,square_feet,False,False,,,False,High
Seal/prime (1 coat) then paint (1 coat) the walls*,260.67,440.89,SF,,,,,0,PAINTING,square_feet,False,False,,,False,Medium-High
Carpet pad,109.08,97.06,SF,1567.0,1409.78,-1457.92,-1312.72,100,FLOOR COVERING,square_feet,False,False,,-1352.48,True,Medium-Low
Carpet,125.45,737.23,SF,1802.05,10727.48,-1676.6,-9990.25,100,FLOOR COVERING,square_feet,False,False,,-1355.11,True,High
Interior door - Colonist - pre-hung unit,1.0,450.7,EA,,,,,0,DOORS,each,False,False,,,False,Medium-High
Seal & paint door slab only (per side),2.0,136.23,EA,,,,,0,PAINTING,each,False,False,per side,,False,Medium-Low
Seal & paint door opening (per side)*,2.0,112.02,EA,17.0,966.15,-15.0,-854.13,87,OFFICE SUPPLIES,each,False,False,per side,-762.48,True,Medium-Low
Door knob - interior,1.0,63.67,EA,,,,,0,DOORS,each,False,False,,,False,Low
"Aluminum window, horiz. slider 24-32 sf (2 pane)",1.0,623.14,EA,2.0,1404.83,-1.0,-781.6899999999999,96,SIDING,each,False,False,,-125.44,True,High
Add on for grid (double or triple glazed windows),24.0,129.86,SF,328.0,1801.36,-304.0,-1671.5,100,WINDOWS,square_feet,False,False,,-1287.16,True,Medium-Low
Window stool & apron,6.0,82.89,LF,103.5,1455.35,-97.5,-1372.4599999999998,100,TOOLS,linear_feet,False,False,,-1655.76,True,Low
Seal & paint window stool and apron,6.0,42.74,LF,103.5,745.68,-97.5,-702.9399999999999,100,PAINTING,linear_feet,False,False,,-1644.69,True,Low
"Baseboard - 2 1/4""",34.33,181.26,LF,587.0,3758.84,-552.67,-3577.58,94,FINISH CARPENTRY,linear_feet,False,False,,-1973.73,True,Medium-Low
Seal (1 coat) & paint (1 coat) baseboard*,34.33,91.92,LF,,,,,0,PAINTING,linear_feet,False,False,,,False,Medium-Low
Ceiling fan & light,1.0,556.01,EA,1.0,563.76,0.0,-7.75,100,PAINTING,each,False,False,,-1.39,False,Medium-High
"Window blind - PVC - 2"" - 20.1 to 32 SF",1.0,228.15,EA,1.0,231.54,0.0,-3.3899999999999864,100,WINDOWS,each,False,False,,-1.49,False,Medium-High
Demolish/remove - bedroom/room (up to 200 sf),11.83,111.31,SF,,,,,0,FURNITURE,square_feet,False,False,,,False,Medium-Low
HEPA Vacuuming - Detailed - (PER SF),11.83,19.31,SF,,,,,0,CLEANING,square_feet,False,False,,,False,Low
Seal attic framing (shellac) - 6 to 8/12,11.83,34.19,SF,2000.0,5848.32,-1988.17,-5814.13,100,WINDOWS,square_feet,False,False,,-17005.35,True,Low
HEPA Vacuuming exposed framing - Walls - (PER SF),109.17,170.3,SF,3500.0,5586.0,-3390.83,-5415.7,100,PAINTING,square_feet,False,False,,-3180.09,True,Medium-Low
Seal stud wall for odor control (shellac),109.17,200.56,SF,3500.0,6497.62,-3390.83,-6297.0599999999995,100,PAINTING,square_feet,False,False,,-3139.74,True,Medium-Low
Clean floor or roof joist system,11.83,22.02,SF,,,,,0,FLOOR COVERING,square_feet,False,False,,,False,Low
Seal floor or ceiling joist system (shellac),11.83,29.19,SF,841.0,2102.06,-829.17,-2072.87,100,FLOOR COVERING,square_feet,False,False,,-7101.3,True,Low
Deodorize building - Ozone & hydroxyl treatment,106.5,7.67,CF,30.33,1.82,76.17,5.85,87,CLEANING,cubic_feet,False,False,,76.27,True,Low
"5/8"" drywall - hung, taped, heavy texture, ready for paint",11.83,66.66,SF,,,,,0,PAINTING,square_feet,False,False,,,False,Low
Seal/prime (1 coat) then paint (1 coat) the ceiling*,11.83,20.0,SF,,,,,0,PAINTING,square_feet,False,False,,,False,Low
"1/2"" drywall - hung, taped, heavy texture, ready for paint",109.17,593.43,SF,,,,,0,PAINTING,square_feet,False,False,,,False,Medium-High
Seal/prime (1 coat) then paint (1 coat) the walls*,109.17,184.66,SF,,,,,0,PAINTING,square_feet,False,False,,,False,Medium-Low
Carpet pad,11.83,10.53,SF,1567.0,1409.78,-1555.17,-1399.25,100,FLOOR COVERING,square_feet,False,False,,-13288.22,True,Low
Carpet,13.61,79.98,SF,1802.05,10727.48,-1788.44,-10647.5,100,FLOOR COVERING,square_feet,False,False,,-13312.7,True,Low
Bypass (sliding) door set - Colonist,1.0,399.84,EA,2.0,811.56,-1.0,-411.71999999999997,100,DOORS,each,False,False,,-102.97,True,Medium-High
"Door opening (jamb & casing) - 60"" or wider - paint grade",1.0,363.98,EA,,,,,0,OFFICE SUPPLIES,each,False,False,,,False,Medium-High
Seal 1coat & paint 1coat bypass dr set-slab only(per side)*,2.0,160.69,EA,,,,,0,PAINTING,each,False,False,per side,,False,Medium-Low
Seal & paint door opening - Large (per side)*,2.0,139.83,EA,,,,,0,OFFICE SUPPLIES,each,False,False,per side,,False,Medium-Low
Closet Organizer - Melamine,5.92,865.06,LF,,,,,0,CLOSET ORGANIZATION,linear_feet,False,False,,,False,High
"Baseboard - 2 1/4""",10.83,57.19,LF,587.0,3758.84,-576.17,-3701.65,94,FINISH CARPENTRY,linear_feet,False,False,,-6472.55,True,Low
Seal (1 coat) & paint (1 coat) baseboard*,10.83,28.99,LF,,,,,0,PAINTING,linear_feet,False,False,,,False,Low
Demolish/remove - bedroom/room (up to 200 sf),100.0,940.8,SF,,,,,0,FURNITURE,square_feet,False,False,,,False,High
HEPA Vacuuming - Detailed - (PER SF),107.55,175.53,SF,,,,,0,CLEANING,square_feet,False,False,,,False,Medium-Low
Seal attic framing (shellac) - 6 to 8/12,107.55,310.9,SF,2000.0,5848.32,-1892.45,-5537.42,100,WINDOWS,square_feet,False,False,,-1781.09,True,Medium-High
HEPA Vacuuming exposed framing - Walls - (PER SF),246.0,383.76,SF,3500.0,5586.0,-3254.0,-5202.24,100,PAINTING,square_feet,False,False,,-1355.6,True,Medium-High
Seal stud wall for odor control (shellac),246.0,451.91,SF,3500.0,6497.62,-3254.0,-6045.71,100,PAINTING,square_feet,False,False,,-1337.81,True,Medium-High
Clean floor or roof joist system,100.0,186.2,SF,,,,,0,FLOOR COVERING,square_feet,False,False,,,False,Medium-Low
Seal floor or ceiling joist system (shellac),100.0,246.69,SF,841.0,2102.06,-741.0,-1855.37,100,FLOOR COVERING,square_feet,False,False,,-752.11,True,Medium-High
Deodorize building - Ozone & hydroxyl treatment,865.34,62.3,CF,30.33,1.82,835.01,60.48,87,CLEANING,cubic_feet,False,False,,97.08,True,Low
"5/8"" drywall - hung, taped, heavy texture, ready for paint",107.55,606.01,SF,,,,,0,PAINTING,square_feet,False,False,,,False,Medium-High
Seal/prime (1 coat) then paint (1 coat) the ceiling*,107.55,181.91,SF,,,,,0,PAINTING,square_feet,False,False,,,False,Medium-Low
"1/2"" drywall - hung, taped, heavy texture, ready for paint",246.0,1337.23,SF,,,,,0,PAINTING,square_feet,False,False,,,False,High
Seal/prime (1 coat) then paint (1 coat) the walls*,246.0,416.08,SF,,,,,0,PAINTING,square_feet,False,False,,,False,Medium-High
Carpet pad,100.0,88.97,SF,1567.0,1409.78,-1467.0,-1320.81,100,FLOOR COVERING,square_feet,False,False,,-1484.56,True,Medium-Low
Carpet,115.0,675.84,SF,1802.05,10727.48,-1687.05,-10051.64,100,FLOOR COVERING,square_feet,False,False,,-1487.28,True,High
Interior door - Colonist - pre-hung unit,1.0,450.7,EA,,,,,0,DOORS,each,False,False,,,False,Medium-High
Seal & paint door slab only (per side),2.0,136.23,EA,,,,,0,PAINTING,each,False,False,per side,,False,Medium-Low
Seal & paint door opening (per side)*,2.0,112.02,EA,17.0,966.15,-15.0,-854.13,87,OFFICE SUPPLIES,each,False,False,per side,-762.48,True,Medium-Low
Door knob - interior,1.0,63.67,EA,,,,,0,DOORS,each,False,False,,,False,Low
"Aluminum window, horiz. slider 24-32 sf (2 pane)",1.0,623.14,EA,2.0,1404.83,-1.0,-781.6899999999999,96,SIDING,each,False,False,,-125.44,True,High
Add on for grid (double or triple glazed windows),24.0,129.86,SF,328.0,1801.36,-304.0,-1671.5,100,WINDOWS,square_feet,False,False,,-1287.16,True,Medium-Low
Window stool & apron,6.0,82.89,LF,103.5,1455.35,-97.5,-1372.4599999999998,100,TOOLS,linear_feet,False,False,,-1655.76,True,Low
Seal & paint window stool and apron,6.0,42.74,LF,103.5,745.68,-97.5,-702.9399999999999,100,PAINTING,linear_feet,False,False,,-1644.69,True,Low
"Baseboard - 2 1/4""",32.5,171.61,LF,587.0,3758.84,-554.5,-3587.23,94,FINISH CARPENTRY,linear_feet,False,False,,-2090.34,True,Medium-Low
Seal (1 coat) & paint (1 coat) baseboard*,32.5,87.03,LF,,,,,0,PAINTING,linear_feet,False,False,,,False,Medium-Low
Ceiling fan & light,1.0,556.01,EA,1.0,563.76,0.0,-7.75,100,PAINTING,each,False,False,,-1.39,False,Medium-High
"Window blind - PVC - 2"" - 20.1 to 32 SF",1.0,228.15,EA,1.0,231.54,0.0,-3.3899999999999864,100,WINDOWS,each,False,False,,-1.49,False,Medium-High
Demolish/remove - bedroom/room (up to 200 sf),12.67,119.19,SF,,,,,0,FURNITURE,square_feet,False,False,,,False,Medium-Low
HEPA Vacuuming - Detailed - (PER SF),12.67,20.67,SF,,,,,0,CLEANING,square_feet,False,False,,,False,Low
Seal attic framing (shellac) - 6 to 8/12,12.67,36.62,SF,2000.0,5848.32,-1987.33,-5811.7,100,WINDOWS,square_feet,False,False,,-15870.29,True,Low
HEPA Vacuuming exposed framing - Walls - (PER SF),116.67,182.01,SF,3500.0,5586.0,-3383.33,-5403.99,100,PAINTING,square_feet,False,False,,-2969.06,True,Medium-Low
Seal stud wall for odor control (shellac),116.67,214.33,SF,3500.0,6497.62,-3383.33,-6283.29,100,PAINTING,square_feet,False,False,,-2931.6,True,Medium-Low
Clean floor or roof joist system,12.67,23.58,SF,,,,,0,FLOOR COVERING,square_feet,False,False,,,False,Low
Seal floor or ceiling joist system (shellac),12.67,31.25,SF,841.0,2102.06,-828.33,-2070.81,100,FLOOR COVERING,square_feet,False,False,,-6626.59,True,Low
Deodorize building - Ozone & hydroxyl treatment,114.0,8.2,CF,30.33,1.82,83.67,6.379999999999999,87,CLEANING,cubic_feet,False,False,,77.8,True,Low
"5/8"" drywall - hung, taped, heavy texture, ready for paint",12.67,71.39,SF,,,,,0,PAINTING,square_feet,False,False,,,False,Low
Seal/prime (1 coat) then paint (1 coat) the ceiling*,12.67,21.43,SF,,,,,0,PAINTING,square_feet,False,False,,,False,Low
"1/2"" drywall - hung, taped, heavy texture, ready for paint",116.67,634.21,SF,,,,,0,PAINTING,square_feet,False,False,,,False,High
Seal/prime (1 coat) then paint (1 coat) the walls*,116.67,197.34,SF,,,,,0,PAINTING,square_feet,False,False,,,False,Medium-Low
Carpet pad,12.67,11.28,SF,1567.0,1409.78,-1554.33,-1398.5,100,FLOOR COVERING,square_feet,False,False,,-12398.05,True,Low
Carpet,14.57,85.63,SF,1802.05,10727.48,-1787.48,-10641.85,100,FLOOR COVERING,square_feet,False,False,,-12427.71,True,Low
Bypass (sliding) door set - Colonist,1.0,399.84,EA,2.0,811.56,-1.0,-411.71999999999997,100,DOORS,each,False,False,,-102.97,True,Medium-High
"Door opening (jamb & casing) - 60"" or wider - paint grade",1.0,363.98,EA,,,,,0,OFFICE SUPPLIES,each,False,False,,,False,Medium-High
Seal 1coat & paint 1coat bypass dr set-slab only(per side)*,2.0,160.69,EA,,,,,0,PAINTING,each,False,False,per side,,False,Medium-Low
Seal & paint door opening - Large (per side)*,2.0,139.83,EA,,,,,0,OFFICE SUPPLIES,each,False,False,per side,,False,Medium-Low
Closet Organizer - Melamine,6.33,924.98,LF,,,,,0,CLOSET ORGANIZATION,linear_feet,False,False,,,False,High
"Baseboard - 2 1/4""",11.67,61.62,LF,587.0,3758.84,-575.33,-3697.2200000000003,94,FINISH CARPENTRY,linear_feet,False,False,,-6000.03,True,Low
Seal (1 coat) & paint (1 coat) baseboard*,11.67,31.25,LF,,,,,0,PAINTING,linear_feet,False,False,,,False,Low
Haul debris - per pickup truck load - including dump fees,1.0,272.73,EA,,,,,0,DUMPSTER & DEBRIS,each,False,False,,,False,Medium-High
R&R Pergola - Pre-manufactured Kit - Cedar,112.0,4683.5,SF,75.0,3183.77,37.0,1499.73,100,HVAC,square_feet,False,False,,32.02,True,High
Seal & paint trim - two coats,260.0,661.87,LF,260.0,668.83,0.0,-6.960000000000036,100,PAINTING,linear_feet,False,False,,-1.05,False,High
General Demolition - per hour,2.0,176.84,HR,,,,,0,DEMOLITION & LABOR,hours,False,True,,,False,Medium-Low
Power distribution box - 100+ amp (per week),,,WK,8.0,3456.0,,,0,ELECTRICAL,weeks,False,False,per week,,False,
Allowance for PPE *,,,EA,1.0,623.99,,,0,SAFETY EQUIPMENT,each,False,False,,,False,
HEPA Vacuuming - Detailed *,,,SF,2000.0,1992.0,,,0,CLEANING,square_feet,False,False,,,False,
"Remove Batt insulation - 6"" - R19 - unfaced batt",,,SF,917.0,517.19,,,0,HVAC,square_feet,False,False,,,False,
"Remove Baseboard - 3 1/4""",,,LF,587.0,436.72,,,0,FINISH CARPENTRY,linear_feet,False,False,,,False,
"Tear out wet non-salvageable carpet, cut/bag - Cat 3 water",,,SF,1567.0,3171.91,,,0,FLOOR COVERING,square_feet,False,False,,,False,
"Tear out wet carpet pad, cut/bag - Category 3 water",,,SF,1567.0,2983.87,,,0,FLOOR COVERING,square_feet,False,False,,,False,
Remove Stone floor covering,,,SF,101.0,500.55,,,0,FLOOR COVERING,square_feet,False,False,,,False,
Remove Tile floor covering,,,SF,261.0,1293.51,,,0,FLOOR COVERING,square_feet,False,False,,,False,
Remove Interior door unit,,,EA,11.0,408.27,,,0,DOORS,each,False,False,,,False,
Remove Pedestal sink,,,EA,1.0,49.48,,,0,OFFICE SUPPLIES,each,False,False,,,False,
Remove Toilet,,,EA,1.0,49.48,,,0,PLUMBING,each,False,False,,,False,
Remove Vanity,,,LF,4.25,63.14,,,0,CABINETRY,linear_feet,False,False,,,False,
Remove Toilet,,,EA,1.0,49.48,,,0,PLUMBING,each,False,False,,,False,
Remove Bathtub,,,EA,1.0,148.46,,,0,PLUMBING,each,False,False,,,False,
Remove Vanity,,,LF,5.5,81.71,,,0,CABINETRY,linear_feet,False,False,,,False,
Remove Toilet,,,EA,1.0,49.48,,,0,PLUMBING,each,False,False,,,False,
Remove Bathtub,,,EA,1.0,148.46,,,0,PLUMBING,each,False,False,,,False,
Remove Tile tub surround - 60 to 75 SF,,,EA,1.0,296.35,,,0,FLOOR COVERING,each,False,False,,,False,
"Remove Fireplace, zero clnce, gas burning, w/venting - High grade",,,EA,1.0,593.87,,,0,ROOFING,each,False,False,,,False,
Remove Newel post - turned,,,EA,2.0,98.98,,,0,STAIRS,each,False,False,,,False,
Remove Newel post - turned,,,EA,2.0,98.98,,,0,STAIRS,each,False,False,,,False,
"Remove Tile roofing - Concrete - ""S"" or flat tile",,,SQ,0.64,241.08,,,0,FLOOR COVERING,square,False,False,,,False,
"Tile roofing - Concrete - ""S"" or flat tile",,,SQ,0.64,672.21,,,0,FLOOR COVERING,square,False,False,,,False,
Labor to set up and take down scaffold - per section,,,EA,63.0,3576.63,,,0,SCAFFOLDING,each,False,True,,,False,
R&R Siding - hardboard - sheet,,,SF,622.5,3699.58,,,0,SIDING,square_feet,False,False,,,False,
R&R Siding - hardboard - sheet,,,SF,212.8,1264.68,,,0,SIDING,square_feet,False,False,,,False,
"R&R Trim board - 1"" x 4"" - installed (cedar)",,,LF,260.0,2022.39,,,0,FINISH CARPENTRY,linear_feet,False,False,,,False,
Flashing - Sill pan flashing - plastic - up to 4.5' sill,,,EA,3.0,253.94,,,0,ROOFING,each,False,False,,,False,
Flashing - Sill pan flashing - plastic - greater than 4.5',,,EA,3.0,334.15,,,0,ROOFING,each,False,False,,,False,
"Patio door screen, 36"" wide",,,EA,2.0,225.83,,,0,WINDOWS,each,False,False,,,False,
Flashing - Sill pan flashing - plastic - up to 4.5' sill,,,EA,3.0,253.94,,,0,ROOFING,each,False,False,,,False,
Flashing - Sill pan flashing - plastic - up to 4.5' sill,,,EA,5.0,423.23,,,0,ROOFING,each,False,False,,,False,
Flashing - Sill pan flashing - plastic - greater than 4.5',,,EA,4.0,445.52,,,0,ROOFING,each,False,False,,,False,
Urethane foam sealant,,,LF,260.0,397.3,,,0,WINDOWS,linear_feet,False,False,,,False,
"Additional charge for a retrofit window, 3-11 sf",,,EA,2.0,329.15,,,0,WINDOWS,each,False,False,,,False,
"Additional charge for a retrofit window, 12-23 sf",,,EA,10.0,2297.97,,,0,WINDOWS,each,False,False,,,False,
"Additional charge for a retrofit window, 24-40 sf",,,EA,5.0,1479.46,,,0,WINDOWS,each,False,False,,,False,
"Add on for ""Low E"" glass",,,SF,328.0,1710.62,,,0,WINDOWS,square_feet,False,False,,,False,
"Mask and prep for paint - plastic, paper, tape (per LF)",,,LF,310.26,754.43,,,0,OFFICE SUPPLIES,linear_feet,False,False,per LF,,False,
Seal & paint double garage door opening & trim,,,EA,1.0,227.43,,,0,OFFICE SUPPLIES,each,False,False,,,False,
Exterior - seal or prime then paint with two finish coats,,,SF,2880.0,8081.86,,,0,PAINTING,square_feet,False,False,,,False,
